model_component,feature,importance_pct,feature_group
allocate_flm_regressor,hash__Site__91,0.2571609318256378,Site category signal
allocate_flm_regressor,D60,0.25714755058288574,D60
allocate_flm_regressor,hash__Line Name__108,0.25714653730392456,Line Name category signal
allocate_flm_regressor,hash__Class Name__45,0.257111519575119,Class Name category signal
allocate_flm_regressor,Alloc. Rec.,0.25702646374702454,Alloc. Rec.
allocate_flm_regressor,hash__Line Name__105,0.25695285201072693,Line Name category signal
allocate_flm_regressor,hash__Line Name__106,0.2568359375,Line Name category signal
allocate_flm_regressor,hash__Line Name__53,0.2568138837814331,Line Name category signal
allocate_flm_regressor,hash__Site__94,0.25676387548446655,Site category signal
allocate_flm_regressor,hash__Line Name__5,0.25668075680732727,Line Name category signal
allocate_flm_regressor,max_demand,0.2566799521446228,max_demand
allocate_flm_regressor,hash__Class Name__33,0.2566007971763611,Class Name category signal
allocate_flm_regressor,hash__Line Name__45,0.256590336561203,Line Name category signal
allocate_flm_regressor,hash__Line Name__79,0.25648245215415955,Line Name category signal
allocate_flm_regressor,hash__Line Name__17,0.25627899169921875,Line Name category signal
allocate_flm_regressor,hash__Line Name__31,0.25624653697013855,Line Name category signal
allocate_flm_regressor,hash__Line Name__29,0.2562299072742462,Line Name category signal
allocate_flm_regressor,hash__Line Name__93,0.25607746839523315,Line Name category signal
allocate_flm_regressor,hash__Class Name__34,0.2560722827911377,Class Name category signal
allocate_flm_regressor,hash__Line Name__57,0.2560560703277588,Line Name category signal
allocate_flm_regressor,hash__Line Name__4,0.2559385299682617,Line Name category signal
allocate_flm_regressor,hash__Class Name__71,0.25589534640312195,Class Name category signal
allocate_flm_regressor,hash__Line Name__44,0.2558951675891876,Line Name category signal
allocate_flm_regressor,hash__Site__73,0.25585129857063293,Site category signal
allocate_flm_regressor,hash__Site__59,0.2558172643184662,Site category signal
allocate_flm_regressor,hash__Rank__4,0.25573742389678955,Rank category signal
allocate_flm_regressor,hash__Class Name__79,0.2556934356689453,Class Name category signal
allocate_flm_regressor,hash__Site__70,0.2556458115577698,Site category signal
allocate_flm_regressor,hash__Class Name__9,0.2553956210613251,Class Name category signal
allocate_flm_regressor,hash__Site__6,0.25539126992225647,Site category signal
allocate_flm_regressor,ttm_monthly,0.2552551031112671,ttm_monthly
allocate_flm_regressor,hash__Class Name__67,0.2551346719264984,Class Name category signal
allocate_flm_regressor,mil_gap,0.2550176978111267,mil_gap
allocate_flm_regressor,hash__Class Name__60,0.25493672490119934,Class Name category signal
allocate_flm_regressor,hash__Class Name__87,0.25467708706855774,Class Name category signal
allocate_flm_regressor,hash__Site__49,0.2545962333679199,Site category signal
allocate_flm_regressor,hash__Line Name__77,0.2544388175010681,Line Name category signal
allocate_flm_regressor,hash__Class Name__48,0.25436440110206604,Class Name category signal
allocate_flm_regressor,hash__Site__82,0.2542645037174225,Site category signal
allocate_flm_regressor,L30,0.2542184293270111,L30
allocate_flm_regressor,hash__Site__32,0.2541424334049225,Site category signal
allocate_flm_regressor,hash__Class Name__35,0.25411349534988403,Class Name category signal
allocate_flm_regressor,hash__Line Name__67,0.253953218460083,Line Name category signal
allocate_flm_regressor,hash__Line Name__91,0.25381940603256226,Line Name category signal
allocate_flm_regressor,hash__Line Name__118,0.25381436944007874,Line Name category signal
allocate_flm_regressor,hash__Class Name__53,0.2537787854671478,Class Name category signal
allocate_flm_regressor,hash__Line Name__115,0.25364965200424194,Line Name category signal
allocate_flm_regressor,hash__Line Name__6,0.2536140978336334,Line Name category signal
allocate_flm_regressor,hash__Line Name__10,0.2530694901943207,Line Name category signal
allocate_flm_regressor,hash__Class Name__1,0.25295257568359375,Class Name category signal
allocate_flm_regressor,TTM,0.25286591053009033,TTM
allocate_flm_regressor,hash__Site__31,0.25285211205482483,Site category signal
allocate_flm_regressor,hash__Line Name__50,0.25270506739616394,Line Name category signal
allocate_flm_regressor,hash__Line Name__51,0.2521026134490967,Line Name category signal
allocate_flm_regressor,hash__Site__66,0.2519931495189667,Site category signal
allocate_flm_regressor,hash__Site__44,0.25191763043403625,Site category signal
allocate_flm_regressor,hash__Class Name__30,0.2519141733646393,Class Name category signal
allocate_flm_regressor,hash__Line Name__96,0.2518998682498932,Line Name category signal
allocate_flm_regressor,hash__Line Name__101,0.2518397569656372,Line Name category signal
allocate_flm_regressor,hash__Class Name__59,0.25179582834243774,Class Name category signal
allocate_flm_regressor,hash__Class Name__21,0.2517646551132202,Class Name category signal
allocate_flm_regressor,hash__Class Name__70,0.2513880431652069,Class Name category signal
allocate_flm_regressor,hash__Site__88,0.2512264847755432,Site category signal
allocate_flm_regressor,hash__Class Name__13,0.2508906424045563,Class Name category signal
allocate_flm_regressor,hash__Line Name__41,0.2508818805217743,Line Name category signal
allocate_flm_regressor,hash__Line Name__3,0.2503843605518341,Line Name category signal
allocate_flm_regressor,hash__Site__0,0.25037214159965515,Site category signal
allocate_flm_regressor,hash__Line Name__125,0.25016602873802185,Line Name category signal
allocate_flm_regressor,hash__Line Name__68,0.250052809715271,Line Name category signal
allocate_flm_regressor,supply_cost_value,0.24990606307983398,supply_cost_value
allocate_flm_regressor,hash__Class Name__82,0.24961638450622559,Class Name category signal
allocate_flm_regressor,proj_gap,0.24953725934028625,proj_gap
allocate_flm_regressor,Dc Avail,0.24926115572452545,Dc Avail
allocate_flm_regressor,hash__Site__45,0.24910520017147064,Site category signal
allocate_flm_regressor,hash__Site__12,0.24899214506149292,Site category signal
allocate_flm_regressor,hash__Site__13,0.2485009878873825,Site category signal
allocate_flm_regressor,hash__Line Name__95,0.2484283447265625,Line Name category signal
